window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
49,61440,62720,240.0,245.0,0,0.2,OK,0.03958726500013654,0.03960493700014922
50,62720,64000,245.0,250.0,1,0.9333333333333333,OK,0.07333419600035995,0.07335386300019309
51,64000,65280,250.0,255.0,1,0.9,OK,0.0906056929998158,0.09062590099983936
52,65280,66560,255.0,260.0,1,0.9333333333333333,OK,0.05848930100000871,0.058506452000074205
53,66560,67840,260.0,265.0,1,0.9666666666666667,OK,0.044960282999909396,0.044980260000102135
54,67840,69120,265.0,270.0,0,0.4666666666666667,OK,0.035340802000064286,0.03536308399998234
55,69120,70400,270.0,275.0,1,0.7,OK,0.049858391000270785,0.0498896799999784
56,70400,71680,275.0,280.0,1,0.9666666666666667,OK,0.053498810999826674,0.05351696500019898
57,71680,72960,280.0,285.0,1,0.9666666666666667,OK,0.07224590099986017,0.07226980499990532
58,72960,74240,285.0,290.0,1,0.8666666666666667,OK,0.05435260200010816,0.05437133700024788
59,74240,75520,290.0,295.0,1,0.8,OK,0.03535222399978011,0.03537506599968765
60,75520,76800,295.0,300.0,1,0.9666666666666667,OK,0.03981324300002598,0.03983182699994359
61,76800,78080,300.0,305.0,1,0.9666666666666667,OK,0.05577421399993909,0.05579511199994158
62,78080,79360,305.0,310.0,1,1.0,OK,0.022322990999782633,0.02234509199979584
63,79360,80640,310.0,315.0,1,0.9666666666666667,OK,0.02315523100014616,0.023176369999873714
64,80640,81920,315.0,320.0,1,0.9666666666666667,OK,0.03964319800024896,0.03966347499999756
65,81920,83200,320.0,325.0,1,0.9666666666666667,OK,0.037774066999645584,0.03779483599964806
66,83200,84480,325.0,330.0,1,0.9333333333333333,OK,0.04452642900014325,0.04454393200012419
67,84480,85760,330.0,335.0,1,0.6666666666666666,OK,0.02631861800000479,0.02633484799980579
68,85760,87040,335.0,340.0,1,1.0,OK,0.0283243419999053,0.028346611999950255
69,87040,88320,340.0,345.0,1,0.8666666666666667,OK,0.06697222700040584,0.06699447700020755
70,88320,89600,345.0,350.0,1,0.5666666666666667,OK,0.08876318100010394,0.08878067400019063
71,89600,90880,350.0,355.0,1,0.6,OK,0.045863584000017,0.04588001499996608
72,90880,92160,355.0,360.0,1,0.8333333333333334,OK,0.043769778000296355,0.04378701999985424
73,92160,93440,360.0,365.0,1,0.5666666666666667,OK,0.03592469400018672,0.0359479960002318
74,93440,94720,365.0,370.0,1,0.6333333333333333,OK,0.04803486399987378,0.04805495199980214
75,94720,96000,370.0,375.0,1,1.0,OK,0.05171867499984728,0.05174473399983981
76,96000,97280,375.0,380.0,1,1.0,OK,0.04244216000006418,0.04246450199980245
77,97280,98560,380.0,385.0,0,0.4,OK,0.08484074900025007,0.08487497199985228
78,98560,99840,385.0,390.0,1,0.9666666666666667,OK,0.060267653000209975,0.06028713899968352
79,99840,101120,390.0,395.0,1,0.9666666666666667,OK,0.057488536999699136,0.05751107900005081
80,101120,102400,395.0,400.0,1,0.9333333333333333,OK,0.06135430499989525,0.06137087600018276
81,102400,103680,400.0,405.0,1,1.0,OK,0.04840685399994982,0.048422322000078566
82,103680,104960,405.0,410.0,1,0.9333333333333333,OK,0.0560114530003375,0.05603442500023448
