window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
92,116480,117760,455.0,460.0,1,1.0,OK,0.04309600500027955,0.043112105000091105
93,117760,119040,460.0,465.0,0,0.4666666666666667,OK,0.07833738399995127,0.07835441500037632
94,119040,120320,465.0,470.0,1,0.9,OK,0.03745460299978731,0.03747104300009596
95,120320,121600,470.0,475.0,1,0.9666666666666667,OK,0.04055354199999783,0.04057310899997901
96,121600,122880,475.0,480.0,1,0.9666666666666667,OK,0.050220519000049535,0.050237700999787194
97,122880,124160,480.0,485.0,1,1.0,OK,0.0746541530002105,0.07466946099975758
98,124160,125440,485.0,490.0,1,0.9666666666666667,OK,0.03372913300017899,0.03374575399993773
99,125440,126720,490.0,495.0,1,0.9,OK,0.039324921000115864,0.03934828399997059
100,126720,128000,495.0,500.0,1,0.9,OK,0.032015995000165276,0.03203874700011511
101,128000,129280,500.0,505.0,1,0.9333333333333333,OK,0.028631345999656332,0.02864750600019761
102,129280,130560,505.0,510.0,1,1.0,OK,0.10138268099990455,0.10139917099968443
103,130560,131840,510.0,515.0,1,1.0,OK,0.08099941699992996,0.08101619799981563
104,131840,133120,515.0,520.0,1,0.9,OK,0.02866117200028384,0.028685356000096363
105,133120,134400,520.0,525.0,1,1.0,OK,0.06390091800039954,0.06391902099994695
106,134400,135680,525.0,530.0,1,1.0,OK,0.04367855199961923,0.043699360999653436
107,135680,136960,530.0,535.0,1,1.0,OK,0.037163373999646865,0.037187207999977545
108,136960,138240,535.0,540.0,1,1.0,OK,0.047430108999833465,0.04745044699984646
109,138240,139520,540.0,545.0,1,1.0,OK,0.0485451810000086,0.04856192200031728
110,139520,140800,545.0,550.0,1,1.0,OK,0.033501611999781744,0.03351913500000592
111,140800,142080,550.0,555.0,1,1.0,OK,0.04138485999965269,0.041400408999834326
112,142080,143360,555.0,560.0,1,0.9,OK,0.07649740200031374,0.07651874100019995
113,143360,144640,560.0,565.0,1,0.6,OK,0.028995819999636296,0.02902026499987187
114,144640,145920,565.0,570.0,1,0.9666666666666667,OK,0.023314504000154557,0.023340773000199988
115,145920,147200,570.0,575.0,1,0.9333333333333333,OK,0.03786332899971967,0.03788026899974284
116,147200,148480,575.0,580.0,1,0.9,OK,0.04322766799987221,0.04325008899968452
117,148480,149760,580.0,585.0,1,0.8333333333333334,OK,0.02603350200024579,0.026049882999814145
118,149760,151040,585.0,590.0,1,1.0,OK,0.10058742000001075,0.10060319900003378
119,151040,152320,590.0,595.0,1,1.0,OK,0.03781802499997866,0.037835586999790394
120,152320,153600,595.0,600.0,1,0.9,OK,0.029272541999944224,0.02929081499996755
