window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
22,26880,28160,105.0,110.0,1,0.8,OK,0.02554735100011385,0.025571544999820617
23,28160,29440,110.0,115.0,1,1.0,OK,0.038688590999754524,0.038706885000010516
24,29440,30720,115.0,120.0,1,0.9333333333333333,OK,0.02494606800019028,0.024964161999832868
25,30720,32000,120.0,125.0,1,1.0,OK,0.03155760499976168,0.031582641000113654
26,32000,33280,125.0,130.0,1,0.9666666666666667,OK,0.02285411100001511,0.022879938000187394
27,33280,34560,130.0,135.0,1,1.0,OK,0.0309293529999195,0.030951274000017293
28,34560,35840,135.0,140.0,1,1.0,OK,0.041507382999952824,0.04152374299974326
29,35840,37120,140.0,145.0,1,0.9333333333333333,OK,0.025135418999980175,0.02515214000004562
30,37120,38400,145.0,150.0,1,0.9,OK,0.026674584999909712,0.026694090999626496
31,38400,39680,150.0,155.0,1,1.0,OK,0.09329128799981845,0.09331203700003243
32,39680,40960,155.0,160.0,1,0.9666666666666667,OK,0.021405611999853136,0.02142168099999253
33,40960,42240,160.0,165.0,1,0.7333333333333333,OK,0.02347888599979342,0.023498351000398543
34,42240,43520,165.0,170.0,1,1.0,OK,0.021039735000158544,0.021064821999971173
35,43520,44800,170.0,175.0,1,0.9,OK,0.02622345999998288,0.026245531999848026
36,44800,46080,175.0,180.0,1,1.0,OK,0.024450242000057187,0.024469647999922017
37,46080,47360,180.0,185.0,1,1.0,OK,0.025257555000280263,0.025281389000156196
38,47360,48640,185.0,190.0,1,0.8,OK,0.02732266399971195,0.027345484999841574
39,48640,49920,190.0,195.0,1,0.6,OK,0.023727144999611482,0.023747291999825393
40,49920,51200,195.0,200.0,1,0.9666666666666667,OK,0.031698695000159205,0.031722390000140877
41,51200,52480,200.0,205.0,1,1.0,OK,0.052620342999944114,0.052638866000052076
42,52480,53760,205.0,210.0,1,1.0,OK,0.035906795999835595,0.03592981899964798
43,53760,55040,210.0,215.0,1,1.0,OK,0.0332373109999935,0.03325906100008069
44,55040,56320,215.0,220.0,1,0.9333333333333333,OK,0.023836587000005238,0.023856193000028725
45,56320,57600,220.0,225.0,1,0.9666666666666667,OK,0.0199791439999899,0.020003107999855274
46,57600,58880,225.0,230.0,1,1.0,OK,0.028510199000265857,0.028526939999665046
47,58880,60160,230.0,235.0,1,1.0,OK,0.02536640600010287,0.025382374999935564
48,60160,61440,235.0,240.0,1,0.9666666666666667,OK,0.06930330099976345,0.06932971099968199
49,61440,62720,240.0,245.0,1,0.9666666666666667,OK,0.019533960999979172,0.019555872000182717
50,62720,64000,245.0,250.0,1,1.0,OK,0.02354344500008665,0.02356700800010003
51,64000,65280,250.0,255.0,1,1.0,OK,0.02906253100036338,0.02908230699995329
52,65280,66560,255.0,260.0,1,1.0,OK,0.03179204799971558,0.03180782699973861
53,66560,67840,260.0,265.0,1,0.9666666666666667,OK,0.020030239000334404,0.020048732999839558
54,67840,69120,265.0,270.0,1,1.0,OK,0.02024994500015964,0.02027319799981342
55,69120,70400,270.0,275.0,1,1.0,OK,0.021112479999828793,0.02112974200008466
56,70400,71680,275.0,280.0,1,0.9666666666666667,OK,0.01937559899988628,0.019397738999941794
57,71680,72960,280.0,285.0,1,0.6666666666666666,OK,0.03337959300006332,0.03340225600004487
58,72960,74240,285.0,290.0,1,1.0,OK,0.04116939799996544,0.041193471999577014
59,74240,75520,290.0,295.0,1,1.0,OK,0.031202297000163526,0.03121869799997512
