window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
22,26880,28160,105.0,110.0,1,0.9666666666666667,OK,0.04031466800006456,0.04033543500008818
23,28160,29440,110.0,115.0,1,0.5666666666666667,OK,0.04070810400025948,0.040727722000156064
24,29440,30720,115.0,120.0,0,0.3333333333333333,OK,0.03258511400053976,0.032604490000267106
25,30720,32000,120.0,125.0,1,0.9666666666666667,OK,0.045746521999717515,0.045769263999318355
26,32000,33280,125.0,130.0,1,0.9666666666666667,OK,0.025254569000026095,0.025273133000155212
27,33280,34560,130.0,135.0,1,1.0,OK,0.04195818700009113,0.041984065000178816
28,34560,35840,135.0,140.0,1,1.0,OK,0.03055296599995927,0.030572061999919242
29,35840,37120,140.0,145.0,1,1.0,OK,0.05235360899951047,0.05237205400044331
30,37120,38400,145.0,150.0,1,0.9,OK,0.035559034000471,0.035576105000473035
31,38400,39680,150.0,155.0,1,1.0,OK,0.029559178999988944,0.02959181999995053
32,39680,40960,155.0,160.0,1,0.9,OK,0.06537459699939063,0.06539154900019639
33,40960,42240,160.0,165.0,1,0.9666666666666667,OK,0.03114195599937375,0.03116138199948182
34,42240,43520,165.0,170.0,1,0.8333333333333334,OK,0.039322782999988704,0.03934165899954678
35,43520,44800,170.0,175.0,1,1.0,OK,0.04165996499978064,0.041677127000184555
36,44800,46080,175.0,180.0,1,1.0,OK,0.04927945500003261,0.04930062299990823
37,46080,47360,180.0,185.0,1,0.9,OK,0.04785738499958825,0.047875137999653816
38,47360,48640,185.0,190.0,1,1.0,OK,0.035125712999615644,0.035147532999872055
39,48640,49920,190.0,195.0,1,0.9666666666666667,OK,0.027380421000088973,0.027398983999773918
40,49920,51200,195.0,200.0,1,1.0,OK,0.0441285599999901,0.04414829599954828
41,51200,52480,200.0,205.0,1,0.9333333333333333,OK,0.04527882599995792,0.04529695000019274
42,52480,53760,205.0,210.0,1,0.5,OK,0.06954254399988713,0.06956016599997383
43,53760,55040,210.0,215.0,1,0.9333333333333333,OK,0.050043768000250566,0.050060649000442936
44,55040,56320,215.0,220.0,1,0.8666666666666667,OK,0.07419730099991284,0.07421640599932289
45,56320,57600,220.0,225.0,1,0.9666666666666667,OK,0.029558156999883067,0.029575739999927464
46,57600,58880,225.0,230.0,1,1.0,OK,0.026353420999839727,0.026370652999503363
47,58880,60160,230.0,235.0,1,0.9666666666666667,OK,0.0307274189999589,0.03074959100013075
48,60160,61440,235.0,240.0,1,0.9666666666666667,OK,0.0999229210001431,0.09994670600008249
49,61440,62720,240.0,245.0,1,0.5333333333333333,OK,0.03551234699989436,0.03553149199979089
50,62720,64000,245.0,250.0,0,0.26666666666666666,OK,0.0631241350001801,0.0631577770000149
51,64000,65280,250.0,255.0,1,1.0,OK,0.06683091000013519,0.06685002499943948
52,65280,66560,255.0,260.0,0,0.2,OK,0.07862648100035585,0.0786442739999984
53,66560,67840,260.0,265.0,0,0.03333333333333333,OK,0.06644131000030029,0.06645977300013328
54,67840,69120,265.0,270.0,1,0.9666666666666667,OK,0.04524868099997548,0.04526651399919501
55,69120,70400,270.0,275.0,1,0.7,OK,0.04626906799967401,0.04629292200024793
56,70400,71680,275.0,280.0,1,0.5333333333333333,OK,0.09988791700016009,0.09991133899984561
57,71680,72960,280.0,285.0,1,0.8666666666666667,OK,0.02592854599970451,0.0259470600003624
58,72960,74240,285.0,290.0,1,1.0,OK,0.03155867599980411,0.03158386300037819
59,74240,75520,290.0,295.0,1,0.9666666666666667,OK,0.058361569000226154,0.058379862000037974
60,75520,76800,295.0,300.0,1,0.8333333333333334,OK,0.02932691000023624,0.02934715699939261
61,76800,78080,300.0,305.0,1,0.8,OK,0.07875048000005336,0.07877040799940005
62,78080,79360,305.0,310.0,1,0.9666666666666667,OK,0.03778578099991137,0.03780462600025203
63,79360,80640,310.0,315.0,1,1.0,OK,0.033540249999532534,0.03355963600006362
64,80640,81920,315.0,320.0,1,1.0,OK,0.04346002300007967,0.04347633399993356
65,81920,83200,320.0,325.0,1,1.0,OK,0.03566625199982809,0.03568540699961886
66,83200,84480,325.0,330.0,1,0.6666666666666666,OK,0.030634447000011278,0.03065781099940068
67,84480,85760,330.0,335.0,1,0.9333333333333333,OK,0.025834230999862484,0.025857292999717174
68,85760,87040,335.0,340.0,1,0.9333333333333333,OK,0.04469193200020527,0.044710324999869044
69,87040,88320,340.0,345.0,1,1.0,OK,0.03556570599994302,0.035587286000009044
70,88320,89600,345.0,350.0,1,0.9666666666666667,OK,0.030598720999478246,0.030616332999670703
71,89600,90880,350.0,355.0,1,0.9333333333333333,OK,0.05477332300051785,0.05479192799975863
72,90880,92160,355.0,360.0,1,1.0,OK,0.034767971000292164,0.034786355000505864
73,92160,93440,360.0,365.0,1,0.8666666666666667,OK,0.026462822999747004,0.026483681999707187
74,93440,94720,365.0,370.0,1,0.5,OK,0.03948544399918319,0.03950383800020063
75,94720,96000,370.0,375.0,1,0.9333333333333333,OK,0.0302260419994127,0.03024590899985924
76,96000,97280,375.0,380.0,1,1.0,OK,0.03505539200068597,0.03507479799918656
77,97280,98560,380.0,385.0,1,0.7666666666666667,OK,0.02430826900035754,0.024326722999830963
78,98560,99840,385.0,390.0,1,0.8333333333333334,OK,0.03720944500037149,0.03723691599952872
79,99840,101120,390.0,395.0,1,0.9333333333333333,OK,0.02717565199964156,0.027196400000320864
80,101120,102400,395.0,400.0,1,1.0,OK,0.0407491209998625,0.04076649299986457
81,102400,103680,400.0,405.0,1,1.0,OK,0.04183662200011895,0.041856118000396236
82,103680,104960,405.0,410.0,0,0.26666666666666666,OK,0.025125701000433764,0.025151247999929183
83,104960,106240,410.0,415.0,1,0.8,OK,0.031726958000035665,0.03174558199953026
84,106240,107520,415.0,420.0,1,1.0,OK,0.035221959999944374,0.03524667599958775
85,107520,108800,420.0,425.0,1,1.0,OK,0.04410969400032627,0.04412835000039195
86,108800,110080,425.0,430.0,1,1.0,OK,0.08411657299984654,0.08413222200033488
87,110080,111360,430.0,435.0,1,0.6,OK,0.04028505299993412,0.04030407699974603
88,111360,112640,435.0,440.0,1,0.9666666666666667,OK,0.03418060499916464,0.03419913899961102
89,112640,113920,440.0,445.0,1,1.0,OK,0.028944292000232963,0.02896323700042558
90,113920,115200,445.0,450.0,1,1.0,OK,0.061355253999863635,0.061377074999654724
91,115200,116480,450.0,455.0,1,0.9333333333333333,OK,0.029036893000011332,0.029057331000331033
92,116480,117760,455.0,460.0,1,0.8666666666666667,OK,0.033747653999853355,0.03376649900019402
93,117760,119040,460.0,465.0,1,1.0,OK,0.034271071999683045,0.034295186000235844
94,119040,120320,465.0,470.0,1,1.0,OK,0.02943124200010061,0.02945014800025092
95,120320,121600,470.0,475.0,1,0.8,OK,0.02920904100028565,0.029226513999674353
96,121600,122880,475.0,480.0,1,0.9,OK,0.03258238899979915,0.03260725600011938
97,122880,124160,480.0,485.0,1,0.6333333333333333,OK,0.03519180400053301,0.035212152999520185
98,124160,125440,485.0,490.0,1,1.0,OK,0.029460235999977158,0.02948270799970487
99,125440,126720,490.0,495.0,1,1.0,OK,0.027066669999840087,0.027085544999863487
100,126720,128000,495.0,500.0,1,0.9666666666666667,OK,0.04203378700003668,0.04205172899946774
101,128000,129280,500.0,505.0,1,0.9333333333333333,OK,0.030638535000434786,0.030656939000436978
102,129280,130560,505.0,510.0,1,1.0,OK,0.031064482999681786,0.03108771600000182
