timestampMs,poorSignal,AF7,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1755966458760,26,432,"9,49E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458761,26,380,"8,35E+04",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458761,26,114,"2,50E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458778,26,-126,"-2,77E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458794,26,-305,"-6,70E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458794,26,-862,"-1,89E+07",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458795,26,-1142,"-2,51E+07",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458795,26,-442,"-9,71E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458795,26,117,"2,57E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458795,26,551,"1,21E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458817,26,499,"1,10E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458827,26,545,"1,20E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458828,26,-44,"-9,67E+02",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458847,26,-61,"-1,34E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458861,26,114,"2,50E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458861,26,-632,"-1,39E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458862,26,-1086,"-2,39E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458862,26,-809,"-1,78E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458862,26,4,"8,79E+00",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458862,26,236,"5,19E+04",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458862,26,795,"1,75E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458863,26,427,"9,38E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
